--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:45:46.419 30261 30386 D sharp_executorch_full: Part1 1x (1,4): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:46.419 30261 30386 D sharp_executorch_full: Part1 1x (1,4): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:46.419 30261 30386 D sharp_executorch_full: Part1 1x (1,4): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:46.423 30261 30386 D sharp_executorch_full: Part1 1x (1,4): calling Part2 forward
03-21 02:45:47.070 30261 30386 D sharp_executorch_full: Part1 1x (1,4): Part2 forward returned
03-21 02:45:47.742 30261 30386 D sharp_executorch_full: Part1 1x (2,0): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:47.742 30261 30386 D sharp_executorch_full: Part1 1x (2,0): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:47.742 30261 30386 D sharp_executorch_full: Part1 1x (2,0): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:47.746 30261 30386 D sharp_executorch_full: Part1 1x (2,0): calling Part2 forward
03-21 02:45:48.426 30261 30386 D sharp_executorch_full: Part1 1x (2,0): Part2 forward returned
03-21 02:45:49.092 30261 30386 D sharp_executorch_full: Part1 1x (2,1): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:49.092 30261 30386 D sharp_executorch_full: Part1 1x (2,1): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:49.092 30261 30386 D sharp_executorch_full: Part1 1x (2,1): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:49.096 30261 30386 D sharp_executorch_full: Part1 1x (2,1): calling Part2 forward
03-21 02:45:49.739 30261 30386 D sharp_executorch_full: Part1 1x (2,1): Part2 forward returned
03-21 02:45:50.401 30261 30386 D sharp_executorch_full: Part1 1x (2,2): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:50.401 30261 30386 D sharp_executorch_full: Part1 1x (2,2): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:50.401 30261 30386 D sharp_executorch_full: Part1 1x (2,2): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:50.405 30261 30386 D sharp_executorch_full: Part1 1x (2,2): calling Part2 forward
03-21 02:45:51.061 30261 30386 D sharp_executorch_full: Part1 1x (2,2): Part2 forward returned
03-21 02:45:51.752 30261 30386 D sharp_executorch_full: Part1 1x (2,3): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:51.752 30261 30386 D sharp_executorch_full: Part1 1x (2,3): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:51.752 30261 30386 D sharp_executorch_full: Part1 1x (2,3): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:51.756 30261 30386 D sharp_executorch_full: Part1 1x (2,3): calling Part2 forward
03-21 02:45:52.409 30261 30386 D sharp_executorch_full: Part1 1x (2,3): Part2 forward returned
03-21 02:45:53.095 30261 30386 D sharp_executorch_full: Part1 1x (2,4): getting output tensors (readback may sync Vulkan fence)
